freq,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,RCH_A_AVG,LU	: 	8.0 e	1.0 e	8.6 e	11.1 e	20.3 e	2.1 e	-1.6 	-0.6 	-3.5 	2.9 	0.9 	1.1 	1.1 	3.2 	5.5 	6.1 	1.0 	3.9 	5.9 	7.9 	12.3 	4.0 	-14.0 
A,RCH_A_AVG,LV	: 	-7.4 e	29.1 e	7.5 e	-14.1 e	36.7 e	-8.0 	10.5 	-15.9 	-26.1 	-7.0 	7.8 	-4.4 	2.2 	0.4 	-9.3 	2.2 	1.0 	1.0 	2.1 	0.9 	0.7 	4.3 	-5.5 
A,RCH_A_AVG,MT	: 	8.3 e	8.9 e	11.4 e	14.4 e	3.8 	12.8 	13.2 	8.8 	-5.8 	-4.0 	-5.9 	-0.6 	-5.4 	-0.2 	-0.8 	0.2 	-0.6 	-0.4 	0.2 	1.4 	-3.3 	3.2 	-3.3 p
A,RCH_A_AVG,NL	: 	0.7 e	2.0 e	0.6 e	2.3 e	3.3 	-2.3 	0.5 	-1.1 	-5.9 	-3.3 	-3.3 	-6.9 	-5.9 	-1.3 	2.1 	2.7 	5.7 	4.3 	2.3 	4.8 	7.7 	6.1 	-8.5 
A,RCH_A_AVG,PL	: 	: 	: 	: 	: 	: e	28.7 e	38.8 e	-8.5 e	-9.2 e	-10.5 	-4.6 	-7.5 	-5.9 	-4.4 	-1.5 	-2.6 	-1.3 	0.5 	1.3 	0.4 	4.0 	-0.3 	-2.4 
A,RCH_A_AVG,PT	: 	0.5 e	-3.7 e	-1.4 e	-2.8 e	1.5 e	-0.6 e	-2.7 e	-2.8 	-2.0 	-0.2 	-2.0 	-3.9 	-1.8 	4.0 	-0.8 	3.5 	6.1 	5.3 	5.2 	9.3 	3.2 	4.3 	2.3 
A,RCH_A_AVG,RO	: 	: 	: 	: 	: 	: 	: 	: 	: e	-22.8 	-14.2 	-16.7 	-9.7 	-0.9 	-5.0 	-4.4 	-4.2 	-8.1 	-3.1 	-14.5 	2.3 	-4.1 	-6.3 	-6.5 
A,RCH_A_AVG,SE	: 	0.2 e	1.2 e	3.1 e	7.7 e	6.3 	6.8 	6.2 	-3.7 	0.6 	4.6 	-1.2 	-2.2 	3.2 	6.7 	9.6 	4.2 	4.1 	-3.8 	-0.4 	3.9 	4.3 	-1.6 	-10.4 
A,RCH_A_AVG,SI	: 	: 	: 	: e	2.9 e	8.3 e	11.2 e	13.8 	-1.2 	-8.8 	-1.3 	0.8 	-4.6 	-4.5 	-7.2 	-1.1 	-1.0 	3.4 	2.7 	1.0 	-0.2 	3.2 	5.5 	-0.7 
A,RCH_A_AVG,SK	: 	: 	: 	: 	: 	: 	: 	14.6 	5.6 	-14.1 	-6.7 	-2.5 	-5.3 	-0.2 	-0.9 	0.2 	3.9 	1.3 	-1.3 	3.6 	5.2 	-0.5 	3.2 	-7.9 
